ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
1,16.0978666459438,5.21927,5.21927,5.34127,5.58283
1,16.2384288949598,5.1998,5.1998,5.32584,5.56712
1,16.3789911439759,5.18033,5.18033,5.31042,5.55141
1,16.519553392992,5.16086,5.16086,5.29499,5.53571
1,16.660115642008,5.1414,5.1414,5.27956,5.52
1,16.8006778910241,5.12193,5.12193,5.26413,5.50429
1,16.9412401400402,5.10246,5.10246,5.2487,5.48858
1,16.96217494,5.09956,5.09956,5.2464,5.48625
1,17.04491726,5.0881,5.0881,5.23732,5.477
1,17.0818023890562,5.08299,5.08299,5.23327,5.47288
1,17.2223646380723,5.06353,5.06353,5.21784,5.45717
1,17.3629268870883,5.04406,5.04406,5.20241,5.44146
1,17.5034891361044,5.02459,5.02459,5.18698,5.42576
1,17.6440513851205,5.00512,5.00512,5.17155,5.41005
1,17.7846136341365,4.98565,4.98565,5.15612,5.39434
1,17.9251758831526,4.96619,4.96619,5.14069,5.37864
1,18.03782506,4.95058,4.95058,5.12832,5.36605
1,18.0657381321687,4.94672,4.94672,5.12526,5.36293
1,18.12056738,4.93912,4.93912,5.11924,5.3568
1,18.2063003811847,4.92725,4.92725,5.10983,5.34722
1,18.3468626302008,4.90778,4.90778,5.0944,5.33152
1,18.4874248792169,4.88831,4.88831,5.07897,5.31581
1,18.6279871282329,4.86885,4.86885,5.06354,5.3001
1,18.768549377249,4.84938,4.84938,5.04811,5.2844
1,18.9091116262651,4.82991,4.82991,5.03268,5.26869
1,19.03073286,4.81307,4.81307,5.01933,5.2551
1,19.0496738752811,4.81044,4.81044,5.01725,5.25298
1,19.11347518,4.80161,4.80161,5.01025,5.24585
1,19.1902361242972,4.79098,4.79098,5.00182,5.23728
1,19.3307983733133,4.77151,4.77151,4.9864,5.22157
1,19.4713606223293,4.75204,4.75204,4.97097,5.20586
1,19.6119228713454,4.73257,4.73257,4.95554,5.19016
1,19.7524851203614,4.71311,4.71311,4.94011,5.17445
1,19.8930473693775,4.69364,4.69364,4.92468,5.15874
1,20.02364066,4.67555,4.67555,4.91034,5.14415
